"wc2.0_bio_10m_01" "wc2.0_bio_10m_02" "wc2.0_bio_10m_03" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_06" "wc2.0_bio_10m_07" "wc2.0_bio_10m_08" "wc2.0_bio_10m_09" "wc2.0_bio_10m_10" "wc2.0_bio_10m_11" "wc2.0_bio_10m_12" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14" "wc2.0_bio_10m_15" "wc2.0_bio_10m_16" "wc2.0_bio_10m_17" "wc2.0_bio_10m_18" "wc2.0_bio_10m_19"
"1" 7.23921892171105 10.9663543924689 30.822548527553 884.268712991624 23.861499786377 -11.7174997329712 35.5789995193481 16.204958597819 -4.29849993685881 17.6462086041768 -4.29849993685881 568 105 3 82.0233797686194 296 12 280 12
"2" 4.51796865587433 11.8468958710631 23.1166841594733 1409.87903820362 28.2759990692139 -22.9722499847412 51.2482490539551 20.796458085378 -14.1607915560404 20.796458085378 -14.1607915560404 694 194 6 103.956777581011 447 22 447 22
"3" 8.67863550285498 11.2970624466737 24.4172377889233 1276.38130343259 30.3020000457764 -15.964750289917 46.2667503356934 23.5329586664836 -7.99816670020421 23.5329586664836 -7.99816670020421 637 172 5 105.398687062709 405 18 405 18
"4" 12.1512188035995 11.3226458790402 28.7862659193684 1023.23715701817 30.5415000915527 -8.79199981689453 39.3334999084473 24.1636250813802 -1.24629167715708 24.1636250813802 -1.24629167715708 754 239 8 111.103390255408 487 28 487 28
"5" 15.6120718419552 7.07852949698766 24.5818643961532 775.007699805507 30.9238090515137 2.12807011604309 28.7957389354706 22.66925684611 6.09753557046254 25.0931078592936 6.09753557046254 1432 202 40 45.1171934231507 526 141 516 141
"6" 7.81704165165623 8.38487520565589 23.4135908113162 989.122153494932 25.6592502593994 -10.1527500152588 35.8120002746582 16.5711248715719 5.72287507851919 19.7677083015442 -4.40058328708013 1209 153 68 28.623048064114 411 208 398 293
"7" 8.48416670722266 10.2517915852368 29.7289089404775 883.049814678589 25.9392509460449 -8.54500007629395 34.4842510223389 19.1449584960938 -2.28870832920074 19.1449584960938 -2.28870832920074 1409 210 31 54.7690857127572 575 117 575 117
"8" 4.27680214246114 10.3928958177567 26.705113807705 1039.46324851906 22.7255001068115 -16.1917495727539 38.9172496795654 16.5343750317891 -9.11449996630351 16.5343750317891 -9.11449996630351 1057 287 12 103.108077858654 659 45 659 45
"9" 11.3170208372176 11.6036668544014 29.9466853426732 991.595613036015 30.1062507629395 -8.64149951934814 38.7477502822876 23.1429999669393 -1.40970822175344 23.1429999669393 -1.40970822175344 1271 303 28 85.2614134545712 711 91 711 91
"10" 3.9796666293793 7.99666654854082 32.2225358845197 638.495674125674 16.0884990692139 -8.72850036621094 24.8169994354248 11.8367499510447 -2.70445838073889 11.8367499510447 -3.69162504297371 1373 183 66 33.5452622641398 515 225 515 226
"11" 6.3808959176143 8.05874984463056 25.0230937442984 867.905238233742 21.6630001068115 -10.5422496795654 32.205249786377 16.8925833702087 -3.27529154221217 16.8925833702087 -4.37812485297521 614 85 32 33.0290815215453 230 103 230 110
"12" 10.2698124845823 7.41741677125295 33.1356580340339 564.986129195416 20.8279991149902 -1.557000041008 22.3849991559982 7.13800009091695 6.21654182672501 17.3572082519531 3.54104175170263 782 74 52 10.9711856653126 214 171 207 189
"13" 8.81228133539359 10.27893764774 34.0359354545201 729.406571942087 22.7117500305176 -7.48850011825562 30.2002501487732 15.9218334356944 0.643749992052714 17.6969168980916 -0.021833340326945 681 83 40 25.062042777883 231 136 208 137
"14" 8.00960411628087 7.91845812400182 27.9542402854971 731.947619183299 21.1965007781982 -7.13000011444092 28.3265008926392 17.0000416437785 -1.04154163599014 17.0000416437785 -1.04154163599014 530 77 23 44.75923635248 217 76 217 76
"15" 7.88181812316179 5.70454540352027 25.5188604254059 622.233111072812 18.8915367126465 -3.46269583702087 22.3542325496674 8.76076265176137 2.60282136996587 15.6563739776611 0.619696994622548 615 65 32 22.2914416494841 192 106 172 118
"16" 5.1593750230968 8.00854170570771 25.4007583526841 844.492626053649 20.0935001373291 -11.4352502822876 31.5287504196167 14.6022500991821 -1.02470845729113 15.8050835927327 -4.97704169650873 655 86 31 35.0747694644904 232 95 224 119
"17" 6.61796218156815 3.24642852942149 32.4234141906498 251.759275369483 12.3100843429565 2.29747891426086 10.0126054286957 5.81876742839813 8.40196084976196 9.97422981262207 3.92605038483938 2659 309 117 33.3245093713 902 378 524 792
"18" 2.15811463072896 8.15547923495372 23.7833202492794 924.185593587049 19.0537509918213 -15.2370004653931 34.2907514572144 14.028083562851 -4.29683325688044 14.028083562851 -8.95666658878326 580 78 27 34.9741160110782 215 87 215 104
"19" 9.99868758674711 8.52341683395207 35.7904947549439 572.270654613684 21.4619998931885 -2.3527500629425 23.814749956131 10.4421252806981 5.99224998553594 17.2633333206177 3.29233323161801 888 89 57 13.0886642295206 245 189 221 209
"20" 7.90724998960892 7.85170840720336 30.7955413575271 653.979981760643 19.8945007324219 -5.60174989700317 25.496250629425 16.0590000152588 3.40566670894623 16.0590000152588 -0.0202083985010783 804 80 52 13.6376742580819 226 172 226 195
"21" 10.5965417580058 9.4971666422983 29.2087953327719 839.754074434956 25.5012493133545 -7.01350021362305 32.5147495269775 19.169583161672 1.82825002322594 20.6918749809265 0.0621666510899862 513 61 26 25.8438295352369 168 83 166 99
"22" -0.820625059772283 5.23150001869847 27.5842980800438 526.410128040874 9.66724967956543 -9.29825019836426 18.9654998779297 2.5659998934716 0.326541701952616 6.90416657924652 -5.73420842488607 1083 118 64 17.4601485402779 326 208 262 279
"23" 9.52904162804286 7.33337493737539 41.5312186067858 383.69218922801 18.4340000152588 0.77649998664856 17.6575000286102 7.50774991512299 10.6667499939601 14.5334582328796 5.29362491766612 1014 107 64 19.1112685828868 313 199 224 289
"24" 5.20254169156154 7.39270821213722 23.6453169885072 852.399538757844 20.0979995727539 -11.1669998168945 31.2649993896484 14.3619585037231 -4.46245825787385 15.6422502199809 -5.32337491214275 681 79 28 30.3906082530134 234 103 225 120
"25" 6.70789592837294 7.67941672851642 25.5554623496085 792.886614732417 21.2377510070801 -8.8122501373291 30.0500011444092 16.47216685613 -2.18712488810221 16.47216685613 -2.79841663440069 581 72 26 28.9602811704057 203 92 203 104
"26" 8.95040619745851 8.73331259936094 27.0905399179383 853.10150688464 23.8757495880127 -8.36174964904785 32.2374992370605 17.7815000216166 -0.637916604677836 19.2018330891927 -1.66979165871938 571 82 28 33.8950991824952 213 105 208 109
"27" 9.51236453404029 7.79514569540819 34.3667222229522 561.686256597793 20.1499996185303 -2.53224992752075 22.682249546051 6.35937500993411 5.54920834302902 16.4920415878296 2.76420836647352 864 85 53 14.3434773253692 246 182 218 215
